k,feature,cv_r2_at_k,gain
1,STAT_e,0.35742748516405204,0.35742748516405204
2,log_taux,0.7791839684427433,0.42175648327869125
3,log_n,0.8555577763038131,0.07637380786106984
4,log_p,0.9352760930560844,0.07971831675227126
5,CT_f_e_conn,0.9899767030057015,0.05470060994961712
6,CT_f_conn_A_Ca,0.9904116287950233,0.00043492578932180503
7,STAT_CC_A_Ca,0.9906880790104786,0.0002764502154553039
8,CT_n_D_adj_An,0.9907801136438901,9.203463341145302e-05
9,DISS_f10_D,0.9909038417483268,0.00012372810443672666
10,STAT_n_D,0.9910629628652533,0.00015912111692650832
11,CT_e_A_Ca,0.9911109232213434,4.79603560901154e-05
12,CT_n_A_adj_Ca,0.9911558013132934,4.487809194997361e-05
13,CT_f_conn_D_An,0.9911971543313453,4.1353018051859536e-05
14,STAT_CC_D_An,0.9912099574928293,1.2803161483998515e-05
15,DISS_wf10_D,0.9912096417560224,-3.1573680681074023e-07
16,CT_f_D_tort1,0.9912131262648168,3.4845087943935482e-06
17,ABS_f_D,0.9912014118375252,-1.1714427291642515e-05
18,ABS_wf_D,0.991207737888702,6.326051176785974e-06
19,STAT_n_A,0.991200817134035,-6.920754667016915e-06
20,STAT_CC_D,0.9911922598865583,-8.557247476614904e-06
21,CT_f_A_tort1,0.9911681769448961,-2.4082941662229018e-05
22,CT_e_conn,0.9910189083790115,-0.00014926856588459714
23,STAT_CC_A,0.9910051465153582,-1.3761863653316553e-05
24,CT_e_D_An,0.9908072252867115,-0.00019792122864670247
